age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,coded-income,tax-bracket,income-90k-threshold
63,State-gov,166860,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,22,3,<=90k
64,Local-gov,111745,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,18,3,<=90k
54,Private,151825,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,44,United-States,17,2,<=90k
37,Private,174690,HS-grad,9,Never-married,Other-service,Own-child,White,Male,21,United-States,4,1,<=90k
35,Private,197229,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,18,3,<=90k
36,Private,204560,12th,8,Never-married,Other-service,Unmarried,White,Female,40,United-States,12,2,<=90k
18,Private,152118,12th,8,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,11,2,<=90k
39,Private,204560,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,25,United-States,9,2,<=90k
53,Private,136143,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,41,4,>90k
33,Private,231166,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States,17,2,<=90k
60,Private,167747,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,55,United-States,17,2,<=90k
59,Private,107924,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,30,3,<=90k
52,Private,151825,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,17,2,<=90k
27,Private,177210,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,9,2,<=90k
29,Private,272830,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,24,United-States,16,2,<=90k
75,Private,117200,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,28,3,<=90k
30,State-gov,176788,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Female,15,United-States,4,1,<=90k
34,State-gov,161781,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,27,3,<=90k
35,Self-emp-inc,142642,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,11,2,<=90k
66,Private,157133,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,32,3,<=90k
72,Private,121557,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,40,United-States,18,3,<=90k
55,Federal-gov,165906,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,31,Azores-,15,2,<=90k
80,Self-emp-not-inc,139947,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,Algeria,7,2,<=90k
23,State-gov,167506,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,20,United-States,23,3,<=90k
21,Self-emp-not-inc,221018,Some-college,10,Never-married,Other-service,Own-child,White,Female,15,United-States,10,2,<=90k
17,Self-emp-not-inc,146666,Some-college,10,Never-married,Construction,Own-child,White,Male,12,United-States,1,1,<=90k
